"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"25",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"26",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"27",-2,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3,-2,-2,-3
"28",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"29",-3,-3,-3,-2,1,-2,-3,-1,-3,-1,-3,-3,-2,-2
"30",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3
"31",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"32",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"33",2,2,-1,-2,0,-1,-1,-1,-1,-2,-2,-1,1,-1
"34",-3,-3,-3,-3,-2,-3,-3,-2,-3,-1,-3,0,0,-2
"35",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"36",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"37",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"38",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"39",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"40",-3,-3,-3,-3,-3,-3,-3,1,-3,-1,-3,-1,-2,-3
"41",-3,-3,-3,-3,-3,-3,-3,-1,-3,-1,-3,-2,-3,-2
"42",-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-2,-3,-2
"43",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"44",-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3
"45",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,-3
"46",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"47",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3
"48",-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3
"49",-2,-1,0,-2,0,0,0,0,-1,1,-1,0,0,0
"50",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"51",2,0,1,1,1,1,0,0,0,1,2,0,1,0
"52",-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,0,0,-3
"53",-3,-3,-3,-3,-3,-2,-3,0,-3,-2,-3,0,-1,-3
"54",-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3
"55",1,2,1,1,2,1,2,2,2,1,1,1,1,1
"56",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"57",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"58",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3
"59",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"60",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"61",-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,1,-2
"62",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"63",-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,1,-3,-3
"64",1,-1,-1,-1,0,1,0,0,1,1,1,2,2,2
"65",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"66",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"67",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"68",-3,-3,-3,-3,3,-3,-3,-3,-3,-2,-3,3,3,3
"69",-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,0,-3
"70",-3,-3,-3,-3,-3,-3,-3,3,-3,0,-3,-2,-2,-3
"71",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"72",-2,-1,-1,0,1,-2,-2,1,-2,2,0,2,2,2
"73",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"74",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"75",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"76",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3
"77",-3,-3,-3,-3,-3,0,-3,0,-3,-3,-3,1,0,-3
"78",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"79",0,-1,-1,0,-2,-1,-1,1,1,-1,0,1,2,2
"80",-3,-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-3,-3,-3
"81",-3,-1,-3,-3,-3,-3,-3,-1,-3,-2,-3,-3,-1,-1
"82",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"83",-3,-3,-3,-3,-3,-1,-3,-2,-3,-3,-3,-3,-3,-3
"84",-3,-3,-3,-3,-3,-3,-3,-2,-3,2,-3,-3,-3,-3
"85",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"86",-3,-3,-3,-3,-2,-3,-2,-3,-3,-2,-3,-3,-1,-2
"87",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"88",-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,-2
"89",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"90",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"91",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"92",-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3
"93",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"94",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"95",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"96",-3,-2,-3,-3,-3,-3,-2,-2,-3,-2,-3,-2,0,-2
"97",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3
"98",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,-2
"99",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"100",-3,-3,-2,-2,-2,-2,-2,-2,0,0,0,-3,0,-2
"101",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"102",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"103",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"104",-3,-2,-3,-3,-3,-3,-3,-3,-1,-2,0,0,-2,-2
"105",1,0,1,1,1,2,-1,2,-1,0,0,1,-1,0
"106",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"107",-1,0,1,0,1,-2,0,0,-1,1,0,-1,-1,-1
"108",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-3
"109",-3,-3,-2,-3,-3,-3,-3,-1,-3,-2,-3,-3,-2,3
"110",-1,-1,-1,0,-1,0,0,1,0,-1,0,0,-1,-1
"111",-1,0,-1,-3,-3,-3,-1,-3,-1,3,-1,-3,1,0
"112",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"113",-3,-3,-3,-3,-3,-3,-2,-2,-2,-1,-2,-3,-3,-2
"114",-3,-2,-2,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,1
"115",-2,-2,-3,-3,-3,-2,-2,-3,-2,-2,-2,-3,-2,-2
"116",-3,-3,-1,-3,-2,-3,-1,-1,0,1,-1,-3,-3,3
"117",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"118",-3,-3,-3,-3,-2,-3,-3,-3,-2,-2,-3,-3,-3,0
"119",-2,-3,-2,-3,-2,-2,-3,-2,-2,-2,-2,-2,-2,-1
"120",-2,0,-2,-1,-3,-1,-2,-1,-1,-2,-2,-2,-1,-1
"121",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"122",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2
"123",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"124",-3,-3,0,-3,-3,-3,-3,-1,-3,1,0,-3,-3,0
"125",-1,-1,-1,-2,-2,2,-1,0,-2,1,-1,0,0,1
"126",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-1
"127",-2,1,2,-1,-3,-2,-1,-1,1,0,-1,0,-2,0
"128",-3,-3,-3,-3,-3,-3,-3,-3,0,-2,-3,-3,-3,-3
"129",-1,0,0,1,0,0,2,1,0,1,0,0,0,0
"130",-3,3,3,-3,3,-3,-3,0,3,3,3,3,-3,3
"131",-3,-1,0,-3,-3,-2,-1,-2,-1,-2,0,-2,-1,-2
"132",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"133",-3,1,1,-2,-3,-3,-1,-1,3,1,1,-3,-2,3
"134",-3,3,3,-3,-3,-3,-3,3,-3,3,3,-3,-3,0
"135",-2,-1,-3,-2,-2,-2,-1,-3,-1,0,0,-1,-1,-1
"136",-2,-2,-1,-2,-2,-2,-1,-2,0,-1,-1,-2,-2,-1
"137",-3,-3,-3,-3,-3,-3,-3,-3,0,-1,-2,-3,-2,2
"138",-3,-3,-3,-3,-2,-3,-3,-2,-3,1,-3,-3,-3,-2
"139",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,3,-3
"140",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-2,-2
"141",-3,-3,-2,-3,-3,-3,-3,-2,-2,-3,-1,-3,-3,-2
"142",-3,-3,-3,-3,-3,-3,-2,-3,-3,-2,-1,-3,-2,-3
"143",-3,-2,-3,-3,-3,-3,-3,-3,-2,-2,-2,-2,-3,-3
"144",-2,1,1,-2,-2,-2,1,-1,2,1,1,-1,1,2
"145",-3,1,1,-3,-3,1,-3,0,-1,1,-1,-2,0,-3
"146",-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,0
"147",-3,0,1,-3,-2,-2,1,-2,1,0,3,-3,-1,0
"148",-3,-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3,-2
"149",-3,-2,-2,-3,-3,-3,-3,-2,-1,0,0,-3,-2,0
"150",-2,0,-2,-1,-1,-1,1,-1,0,1,0,0,-1,1
"151",-3,-3,-1,-2,-3,-3,-2,-3,-3,-3,-3,-3,-3,1
"152",-3,3,3,0,0,-3,3,3,3,3,3,3,0,3
"153",-1,-1,3,-2,-1,-1,0,-2,-1,1,2,-2,0,-2
"154",-3,-3,-3,-3,-3,-3,-3,0,-3,0,0,-3,-3,0
"155",1,1,0,-1,-1,-1,0,-2,1,0,2,-2,0,-1
"156",-2,-2,-1,-2,-3,-2,-2,-1,0,-2,2,-2,-2,-1
"157",-3,0,0,-1,-3,0,0,1,3,3,1,-3,3,-2
"158",-3,-1,0,-3,-2,-3,-3,-3,3,3,3,-3,-2,3
"159",-3,-3,-3,-3,-3,-3,3,-3,3,3,3,-3,-3,3
"160",-2,2,2,0,0,0,0,0,3,3,3,-3,0,2
"161",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"162",-3,-1,-1,-3,-3,-2,-2,-2,-2,1,-1,-2,0,-2
"163",-3,0,1,-3,-3,-3,1,-3,1,3,1,-3,0,1
"164",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,1
"165",-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-1,-2
"166",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2
"167",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"168",-3,0,-2,-3,-3,-3,-3,-3,0,1,1,-2,-2,-2
"169",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2
"170",-1,0,0,0,-3,-2,1,-1,2,2,2,0,1,2
"171",-1,-1,0,-1,0,-1,-2,-1,1,0,0,2,0,1
"172",-3,-3,-3,-3,-3,-3,-3,-2,-2,1,-2,-3,-3,0
"173",-1,-1,1,-2,-2,-1,2,-1,2,0,1,-2,1,0
"174",-3,-3,-1,-3,-3,-3,-1,0,3,0,1,0,-2,-1
"175",-3,-3,0,-3,-3,-3,0,0,3,0,3,-3,0,3
"176",-2,-2,-2,-3,-3,-2,-3,-2,-1,-2,-2,-2,-2,0
"177",-2,0,1,-2,-2,-2,2,-2,1,2,2,-2,-1,2
"178",-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,0,-2
"179",-3,-3,-3,-3,-3,-3,-3,-3,-1,-2,-1,-2,-3,-1
"180",-3,-2,-1,-3,-2,-3,2,-1,0,-1,-1,-2,-1,-2
"181",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"182",-3,-2,-2,-3,-3,-3,-2,-2,-2,-2,-2,-3,-2,-2
"183",-3,-3,-3,-3,-3,-3,-2,-3,-3,-1,-3,-3,-3,1
"184",-3,-2,-3,-3,-3,-2,-2,-3,-3,-2,-2,-3,-3,3
"185",-1,0,0,-1,-1,0,-2,-1,1,1,0,-1,-1,3
"186",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"187",-3,-2,-3,-3,-3,-3,3,-2,3,-2,-3,0,2,3
"188",1,0,1,0,0,1,0,1,2,2,2,0,-1,3
"189",-3,-3,2,-3,-3,-3,-1,-3,2,2,1,-3,-3,1
"190",-1,-3,0,-3,0,-3,-1,1,1,1,0,-2,0,3
"191",-3,-1,0,-2,-1,-2,0,-2,-1,0,0,-1,-2,0
"192",-1,0,1,-1,-1,0,2,-1,1,2,2,-1,2,0
"193",0,1,1,0,0,1,1,1,1,1,-1,1,2,0
"194",-2,1,0,0,0,2,3,0,3,1,0,0,2,0
"195",-1,-1,-1,0,-1,0,-1,0,1,0,1,-1,0,0
"196",-3,-3,0,-3,-3,-3,2,-3,2,2,2,-3,2,1
"197",-3,-3,-2,-3,-3,-3,-3,-3,-1,-1,0,-3,-3,-2
"198",-2,0,-1,-2,-1,-2,1,-2,0,1,1,-2,1,1
"199",-3,-3,-2,-3,-1,-3,-2,-3,-2,-2,-2,-2,-2,-2
"200",-2,-2,1,-2,-2,-3,-3,-1,-2,0,-2,-2,0,2
"201",-3,-3,-1,-3,-2,-2,2,-3,-1,1,-2,-1,1,0
"202",-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-2,-3,-2,3
"203",-3,-3,-1,-3,-3,-2,-1,-2,-1,-1,0,-3,-1,-1
"204",-3,3,3,3,-3,-3,3,-3,3,3,3,3,2,3
"205",-2,1,0,-3,-2,-1,0,1,0,2,2,-2,-2,-1
"206",0,-2,3,-1,-3,-3,3,-1,3,3,3,-3,-1,2
"207",1,0,1,-2,-1,-3,3,-1,1,2,3,-1,-1,1
"208",-3,1,1,-3,-3,2,-3,-2,3,-1,2,-1,-2,0
"209",-3,-3,0,-3,-3,-3,1,-3,2,3,2,-1,-3,1
"210",-1,2,1,-1,0,-1,1,-1,1,1,2,-1,1,2
"211",-2,-1,-2,-2,-3,-2,-2,-2,-2,0,2,-3,-2,-2
"212",-3,-3,-1,-3,-3,-3,0,-3,1,-2,0,-2,-3,-1
"213",-3,-2,-1,-3,-3,-3,0,-1,0,-2,0,-3,-3,-1
"214",-3,2,3,-3,-3,-3,2,2,3,3,3,-3,-3,3
"215",-1,1,0,-2,-3,-2,1,1,1,3,1,-1,-2,-1
"216",-3,3,3,-3,3,3,-3,-3,3,3,3,3,3,3
"217",3,2,2,0,-1,2,3,2,3,3,3,0,0,2
"218",-3,1,2,0,-3,-3,2,-1,1,2,2,-1,-1,1
"219",-1,-1,2,-2,0,0,0,-3,-1,-1,3,-2,0,1
"220",-2,1,0,-2,-2,-1,0,-1,0,2,0,-2,1,0
"221",-1,2,2,1,0,-2,2,-3,3,3,2,-2,-2,2
"222",-2,-3,-2,-3,-2,-2,0,-3,-2,-2,0,-3,-2,-3
"223",-2,-1,3,-2,-3,-3,3,-2,0,0,2,-3,-2,0
"224",2,2,2,0,-1,2,2,2,2,2,2,2,2,2
"225",-3,-3,-3,-3,-3,-2,-2,-2,-2,-2,-2,-3,-3,-3
"226",-1,0,3,3,-1,2,2,1,2,2,3,-2,3,0
"227",1,-1,0,1,-3,-1,3,1,1,2,2,-3,1,3
"228",0,1,3,1,-3,-1,0,-1,3,3,3,0,-1,-1
"229",0,2,2,2,2,2,1,2,3,2,2,2,2,2
"230",-1,-2,2,0,1,-2,2,-1,3,2,3,0,0,1
"231",-2,-1,1,-2,-2,-2,0,0,1,1,2,-1,-1,-1
"232",-2,-2,2,-1,-2,-2,-2,-1,1,0,1,-1,1,-2
"233",0,-1,3,0,-3,1,1,2,3,1,1,2,1,0
"234",3,3,3,3,0,3,3,3,3,3,3,3,3,3
"235",-1,2,1,-1,2,0,2,1,2,2,3,2,2,2
"236",-3,-3,0,0,-3,-3,3,-2,3,2,3,-3,2,3
"237",1,0,3,3,1,-1,2,0,3,3,2,-1,0,1
"238",0,1,1,1,0,-1,0,1,1,1,1,1,1,1
"239",3,3,3,1,-3,3,3,3,3,3,3,3,3,1
"240",-1,-3,0,0,-3,-2,3,2,3,1,3,-1,-1,0
"241",0,-1,3,3,0,2,3,3,3,3,3,2,3,3
"242",2,2,3,3,0,1,3,1,3,3,3,2,1,2
"243",2,1,3,2,3,1,3,2,3,3,3,0,3,3
"244",-3,3,3,-3,-3,-3,3,3,3,3,3,-3,3,3
"245",-3,-3,3,1,-3,-3,2,-1,3,3,2,-2,-2,1
"246",1,3,3,3,3,3,3,1,3,3,3,3,3,3
"247",2,-2,3,3,-3,2,3,3,3,3,3,1,-1,0
"248",-3,3,3,-3,3,-3,-3,3,3,3,3,3,-3,3
"249",-3,-2,-1,-3,-3,-3,1,0,2,1,2,-2,-1,2
"250",-3,-3,3,-3,-3,-3,0,-2,3,0,0,-2,-2,2
"251",-1,-1,-1,-1,-1,-1,1,-1,1,0,-1,-1,-1,1
"252",-2,-2,-1,-2,-3,-2,-2,-2,0,-1,-1,-2,-1,-2
"253",-3,-2,-1,-2,-3,-3,-1,-2,-1,-1,-2,-2,-2,3
"254",-3,1,1,-2,0,2,-2,1,2,2,2,1,1,3
"255",-2,1,1,-3,-1,2,2,0,2,3,2,-1,1,1
"256",-3,-3,-1,-3,-3,-3,-3,-3,0,2,0,-3,-3,-3
"257",-3,-3,0,-3,-2,-2,-1,-1,3,3,1,-3,0,3
"258",0,2,2,2,-1,0,2,1,2,2,2,-1,1,2
"259",-2,1,2,-3,-2,3,3,0,0,2,-3,-2,-3,0
"260",-3,-3,-2,-2,-3,-3,-2,-2,-1,-1,-2,-3,-2,0
"261",0,1,0,0,0,0,0,1,1,2,1,-1,0,1
"262",0,0,0,-1,-1,0,0,0,0,0,0,-2,0,0
"263",-2,-1,0,-1,-2,-2,0,-2,0,0,0,-1,-2,1
"264",-2,0,0,1,-2,-1,-1,-2,1,1,0,-2,-1,2
"265",-3,1,0,-3,-3,-1,-2,-3,1,2,0,-2,-2,3
"266",0,2,0,0,0,1,1,-2,1,2,3,1,2,3
"267",-2,-2,1,-2,-1,-1,-2,0,1,1,1,-1,-3,0
"268",-3,0,-2,-3,-3,-2,0,-3,-3,1,1,-3,-3,-3
"269",0,1,2,0,1,1,1,0,2,3,3,0,1,2
"270",-3,2,3,-3,-3,2,2,1,1,2,3,0,-3,0
"271",-2,-1,0,-1,-2,-1,-1,-1,1,0,1,-1,0,1
"272",2,2,2,2,-2,0,3,3,3,3,3,3,3,3
"273",-2,-1,0,-2,-1,-2,-1,1,3,1,3,-1,1,3
"274",-2,2,1,0,-1,-2,2,-1,2,2,2,-1,-2,2
"275",-3,-2,2,-2,-1,-3,-2,0,0,1,2,-2,-2,-1
"276",2,3,3,2,2,2,3,3,2,3,2,2,2,3
"277",-1,-2,2,-1,-1,-2,0,1,2,-1,2,-2,-2,-2
"278",-1,-2,1,-2,-2,-2,0,2,2,0,1,-1,1,1
"279",-2,-1,-1,-1,0,-2,-2,1,-2,0,0,-2,0,0
"280",2,2,2,2,2,3,3,2,3,3,3,-2,0,3
"281",-3,-3,1,-3,-2,-3,2,1,2,3,2,-3,-3,1
"282",-2,-3,-2,-3,-2,-3,-3,-1,1,-2,0,-3,-3,0
"283",3,3,3,-3,0,-3,3,0,3,3,3,-3,-3,3
"284",0,0,3,1,0,0,1,1,3,2,3,1,0,3
"285",0,-1,1,0,-2,0,2,-1,2,2,2,0,-1,1
"286",-3,0,-1,0,-2,2,2,0,3,2,3,-2,0,2
"287",0,1,2,-1,0,1,2,2,3,2,3,0,0,3
"288",-3,-2,0,-2,-2,-3,-3,-1,1,0,1,-2,-1,3
"289",-1,0,1,0,-1,1,1,0,3,2,1,0,0,1
"290",-2,1,2,-2,-2,-3,3,1,3,1,3,-3,-3,3
"291",-3,0,0,-3,-3,-3,-3,-3,0,-3,0,-2,-3,-3
"292",3,3,3,3,2,3,3,3,3,3,3,1,3,3
"293",0,2,2,-2,0,0,3,2,2,3,2,-2,1,2
"294",-3,0,1,-3,-3,-3,1,0,1,2,2,-3,-3,2
"295",-3,-3,0,-3,-3,-2,2,-2,0,2,1,-3,1,-1
"296",-3,-2,-2,-3,-3,-3,0,-2,0,-1,0,-3,-3,0
"297",-1,2,2,0,0,0,2,0,2,3,2,1,0,1
"298",-1,3,-2,-1,0,1,3,3,3,3,3,3,1,2
"299",-1,0,2,1,-3,1,3,1,1,2,3,-3,-2,2
"300",-1,0,1,0,-1,0,-1,0,2,0,1,1,0,2
"301",0,0,3,1,1,-1,-2,0,1,2,1,1,1,1
"302",2,3,2,2,0,3,3,3,3,2,3,3,3,3
"303",-3,1,1,-2,0,1,3,0,2,2,2,0,1,0
"304",2,2,2,1,2,2,2,2,2,2,2,2,2,2
"305",-2,3,3,2,-3,1,3,0,3,3,3,0,3,3
"306",-3,-3,1,-3,-3,3,0,0,0,-3,0,-3,0,0
"307",-1,1,2,-1,-3,-2,1,-1,2,3,2,-2,2,0
"308",0,2,3,1,0,2,1,2,2,2,3,0,2,1
"309",-2,0,1,2,0,-2,0,2,3,2,0,0,2,1
"310",-3,0,3,-3,-3,-3,-2,2,-2,2,-3,-3,-2,2
"311",-2,0,-1,0,-2,0,-2,0,1,0,1,-1,0,1
"312",-2,-1,1,-1,-1,-1,1,1,1,1,1,1,1,-1
"313",2,0,3,3,0,3,3,2,3,3,3,2,2,3
"314",2,2,1,-1,3,0,1,0,2,0,1,3,2,3
"315",-1,1,1,0,-2,1,-1,-1,1,0,0,0,-2,0
"316",1,3,1,1,-1,0,3,-1,3,1,3,-1,1,1
"317",-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-2,-3,-3,-3
"318",3,2,2,0,0,0,3,1,3,3,3,-1,-1,3
"319",-1,0,3,-1,-2,3,3,3,3,3,3,-1,1,0
"320",1,0,1,1,-1,-1,1,0,1,3,1,1,0,2
"321",-1,0,0,-1,-1,-2,-1,0,2,3,1,1,0,3
"322",-3,-3,3,0,-3,-3,-3,-2,3,3,3,-3,-1,3
"323",2,1,0,0,1,-2,2,-3,2,2,1,-1,-2,0
"324",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"325",3,3,2,0,2,3,3,2,3,3,3,1,-1,1
"326",-2,-2,-1,0,-3,-1,-1,0,0,1,1,-2,-1,1
"327",-2,-3,-2,-2,-3,-1,-3,-2,2,-2,3,-3,-3,1
"328",-2,-3,1,2,-3,-2,2,1,2,3,0,-2,-2,0
"329",-2,-2,0,-2,-3,-2,1,-2,-1,1,1,-3,-2,2
"330",-3,1,1,-3,-3,1,2,1,3,2,1,1,2,-3
"331",0,2,3,0,-1,1,3,-1,2,3,2,-1,0,1
"332",-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2
"333",-3,-3,-3,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-2
"334",-3,-3,3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3
"335",-2,-3,-1,-3,-3,-3,-3,-3,-3,-3,-1,-3,-3,-3
"336",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0
"337",-3,-3,-3,-3,-3,-3,-3,-2,-2,-2,-3,-3,-3,-3
"338",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"339",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"340",-3,-3,-3,-3,-3,-3,-3,-3,-1,-3,-2,-3,-3,-3
"341",-3,-3,-3,-3,-3,-3,-2,-3,-2,-3,-2,-3,-3,-2
"342",-3,-3,3,-3,-3,-3,-3,-3,2,-3,2,-3,-3,-1
"343",-3,-3,-2,-3,-3,-3,-3,-3,-1,-2,-1,-3,-3,-2
"344",-3,-3,2,-3,-3,-3,-2,-3,2,3,3,-3,-3,3
"345",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
